className,professorName,classColor,classCode,classSchedule
Calculo,Billie Bulloch,"[236, 240, 75, 80]",93918,"[02T06:00:00 - 02T07:00:00, 04T09:00:00 - 04T10:00:00]"
Calculo,Tyler Moh,"[236, 240, 75, 80]",72977,"[07T16:00:00 - 07T17:00:00, 05T11:00:00 - 05T12:00:00]"
Calculo,Wayne Foster,"[236, 240, 75, 80]",37641,"[04T18:00:00 - 04T19:00:00, 02T13:00:00 - 02T14:00:00]"
Calculo,Daisey Hill,"[236, 240, 75, 80]",69483,"[01T12:00:00 - 01T13:00:00, 07T17:00:00 - 07T18:00:00]"
Calculo,Jerry Corbridge,"[236, 240, 75, 80]",84917,"[07T11:00:00 - 07T12:00:00, 05T15:00:00 - 05T16:00:00]"
Calculo,George Brown,"[236, 240, 75, 80]",50599,"[06T14:00:00 - 06T15:00:00, 01T16:00:00 - 01T17:00:00]"
Calculo,Evan Mcdowell,"[236, 240, 75, 80]",71538,"[01T06:00:00 - 01T07:00:00, 02T07:00:00 - 02T08:00:00]"
Calculo,Krista Wall,"[236, 240, 75, 80]",44888,"[03T14:00:00 - 03T15:00:00, 01T17:00:00 - 01T18:00:00]"
Literatura,Jacqueline Palmer,"[146, 67, 73, 152]",38845,"[02T16:00:00 - 02T17:00:00, 05T15:00:00 - 05T16:00:00]"
Literatura,Raymond Dominguez,"[146, 67, 73, 152]",24605,"[05T13:00:00 - 05T14:00:00, 06T09:00:00 - 06T10:00:00]"
Literatura,Frank White,"[146, 67, 73, 152]",99075,"[02T13:00:00 - 02T14:00:00, 06T15:00:00 - 06T16:00:00]"
Literatura,Catherine Guida,"[146, 67, 73, 152]",13722,"[05T18:00:00 - 05T19:00:00, 05T06:00:00 - 05T07:00:00]"
Literatura,Elaine Nichols,"[146, 67, 73, 152]",59949,"[04T16:00:00 - 04T17:00:00, 02T11:00:00 - 02T12:00:00]"
Literatura,Kelly Mentzer,"[146, 67, 73, 152]",48763,"[07T12:00:00 - 07T13:00:00, 05T17:00:00 - 05T18:00:00]"
Literatura,William Smith,"[146, 67, 73, 152]",91824,"[06T13:00:00 - 06T14:00:00, 05T10:00:00 - 05T11:00:00]"
Literatura,Sarah Hunter,"[146, 67, 73, 152]",52518,[03T15:00:00 - 03T16:00:00]
Biologia,Irma Worrell,"[100, 45, 185, 2]",51111,"[05T15:00:00 - 05T16:00:00, 02T18:00:00 - 02T19:00:00]"
Biologia,Christopher Tomlinson,"[100, 45, 185, 2]",78422,"[02T13:00:00 - 02T14:00:00, 03T12:00:00 - 03T13:00:00]"
Biologia,John Cota,"[100, 45, 185, 2]",74731,"[02T17:00:00 - 02T18:00:00, 04T11:00:00 - 04T12:00:00]"
Biologia,Helen Kubie,"[100, 45, 185, 2]",11420,"[03T10:00:00 - 03T11:00:00, 07T13:00:00 - 07T14:00:00]"
Biologia,Stephen Mock,"[100, 45, 185, 2]",97185,"[02T07:00:00 - 02T08:00:00, 04T18:00:00 - 04T19:00:00]"
Mecanica,Lori Titus,"[149, 186, 79, 117]",51380,"[06T18:00:00 - 06T19:00:00, 07T14:00:00 - 07T15:00:00, 04T10:00:00 - 04T11:00:00]"
Mecanica,Luther Finigan,"[149, 186, 79, 117]",74471,"[03T17:00:00 - 03T18:00:00, 06T14:00:00 - 06T15:00:00, 04T14:00:00 - 04T15:00:00]"
Mecanica,Jesse Price,"[149, 186, 79, 117]",87200,"[01T16:00:00 - 01T17:00:00, 03T06:00:00 - 03T07:00:00, 02T11:00:00 - 02T12:00:00]"
Mecanica,Maggie Upchurch,"[149, 186, 79, 117]",77010,"[07T18:00:00 - 07T19:00:00, 01T18:00:00 - 01T19:00:00, 07T08:00:00 - 07T09:00:00]"
Mecanica,Dorothea Fetherston,"[149, 186, 79, 117]",75488,"[03T12:00:00 - 03T13:00:00, 06T12:00:00 - 06T13:00:00, 04T15:00:00 - 04T16:00:00]"
Mecanica,Jack Sears,"[149, 186, 79, 117]",11129,"[05T15:00:00 - 05T16:00:00, 04T15:00:00 - 04T16:00:00, 07T13:00:00 - 07T14:00:00]"
Mecanica,Eva Williams,"[149, 186, 79, 117]",96944,"[03T12:00:00 - 03T13:00:00, 04T13:00:00 - 04T14:00:00, 07T08:00:00 - 07T09:00:00]"
Mecanica,Luis Leal,"[149, 186, 79, 117]",11873,"[07T10:00:00 - 07T11:00:00, 04T07:00:00 - 04T08:00:00, 06T15:00:00 - 06T16:00:00]"
