className,professorName,classColor,classCode,classSchedule
Calculo,Opal Johnson,"[141, 58, 57, 66]",67804,"[07T13:00:00 - 07T14:00:00, 06T07:00:00 - 06T08:00:00, 05T18:00:00 - 05T19:00:00, 01T11:00:00 - 01T12:00:00, 04T14:00:00 - 04T15:00:00]"
Calculo,Austin Ferrell,"[141, 58, 57, 66]",92098,"[01T12:00:00 - 01T13:00:00, 04T06:00:00 - 04T07:00:00, 07T10:00:00 - 07T11:00:00, 03T18:00:00 - 03T19:00:00]"
Calculo,Eric Lawrence,"[141, 58, 57, 66]",61813,"[02T10:00:00 - 02T11:00:00, 01T12:00:00 - 01T13:00:00, 05T17:00:00 - 05T18:00:00, 01T10:00:00 - 01T11:00:00, 05T09:00:00 - 05T10:00:00]"
Literatura,Lewis Guel,"[254, 133, 164, 83]",72999,"[04T10:00:00 - 04T11:00:00, 01T16:00:00 - 01T17:00:00, 05T17:00:00 - 05T18:00:00, 01T14:00:00 - 01T15:00:00]"
Literatura,Maria Hoffmann,"[254, 133, 164, 83]",52279,"[03T10:00:00 - 03T11:00:00, 06T15:00:00 - 06T16:00:00, 03T15:00:00 - 03T16:00:00, 01T08:00:00 - 01T09:00:00]"
Literatura,Joshua Elliott,"[254, 133, 164, 83]",18542,"[05T12:00:00 - 05T13:00:00, 07T12:00:00 - 07T13:00:00, 02T10:00:00 - 02T11:00:00]"
Literatura,Cathy Mclean,"[254, 133, 164, 83]",82412,"[07T16:00:00 - 07T17:00:00, 04T09:00:00 - 04T10:00:00, 03T09:00:00 - 03T10:00:00]"
Biologia,Kyle Collins,"[245, 251, 221, 46]",77148,"[05T12:00:00 - 05T13:00:00, 05T14:00:00 - 05T15:00:00, 05T10:00:00 - 05T11:00:00]"
Biologia,Andrew Byrne,"[245, 251, 221, 46]",19662,"[06T06:00:00 - 06T07:00:00, 06T14:00:00 - 06T15:00:00, 06T16:00:00 - 06T17:00:00]"
Biologia,Mary Meza,"[245, 251, 221, 46]",25150,"[06T09:00:00 - 06T10:00:00, 06T15:00:00 - 06T16:00:00, 02T07:00:00 - 02T08:00:00]"
Biologia,Johnna Gonzalez,"[245, 251, 221, 46]",80931,"[06T16:00:00 - 06T17:00:00, 05T17:00:00 - 05T18:00:00, 05T10:00:00 - 05T11:00:00]"
Biologia,Bernadette Bermudez,"[245, 251, 221, 46]",76379,"[04T08:00:00 - 04T09:00:00, 02T09:00:00 - 02T10:00:00, 06T09:00:00 - 06T10:00:00]"
Biologia,Willard Sanford,"[245, 251, 221, 46]",51865,"[07T06:00:00 - 07T07:00:00, 04T06:00:00 - 04T07:00:00, 04T15:00:00 - 04T16:00:00]"
Biologia,Valerie Miles,"[245, 251, 221, 46]",84913,"[07T18:00:00 - 07T19:00:00, 01T12:00:00 - 01T13:00:00, 07T08:00:00 - 07T09:00:00]"
Biologia,Ernest Whitten,"[245, 251, 221, 46]",86038,"[01T08:00:00 - 01T09:00:00, 04T15:00:00 - 04T16:00:00, 03T15:00:00 - 03T16:00:00]"
Mecanica,Mary Glover,"[212, 50, 200, 237]",40822,"[05T10:00:00 - 05T11:00:00, 05T14:00:00 - 05T15:00:00, 02T10:00:00 - 02T11:00:00, 05T16:00:00 - 05T17:00:00, 07T13:00:00 - 07T14:00:00]"
Mecanica,Malcolm Krout,"[212, 50, 200, 237]",63225,"[07T16:00:00 - 07T17:00:00, 02T15:00:00 - 02T16:00:00, 03T09:00:00 - 03T10:00:00, 06T09:00:00 - 06T10:00:00]"
Mecanica,Molly Howk,"[212, 50, 200, 237]",24462,"[01T09:00:00 - 01T10:00:00, 03T06:00:00 - 03T07:00:00, 01T17:00:00 - 01T18:00:00, 04T10:00:00 - 04T11:00:00, 06T17:00:00 - 06T18:00:00]"
Mecanica,Michael Martin,"[212, 50, 200, 237]",49882,"[04T10:00:00 - 04T11:00:00, 04T17:00:00 - 04T18:00:00, 01T08:00:00 - 01T09:00:00, 03T11:00:00 - 03T12:00:00, 02T13:00:00 - 02T14:00:00]"
Mecanica,William Lermon,"[212, 50, 200, 237]",23275,"[05T14:00:00 - 05T15:00:00, 01T08:00:00 - 01T09:00:00, 04T13:00:00 - 04T14:00:00, 02T14:00:00 - 02T15:00:00, 05T12:00:00 - 05T13:00:00]"
