className,professorName,classColor,classCode,classSchedule
Calculo,William White,"[43, 71, 246, 135]",37167,"[04T09:00:00 - 04T10:00:00, 06T07:00:00 - 06T08:00:00]"
Calculo,Anna Davis,"[43, 71, 246, 135]",43736,"[06T17:00:00 - 06T18:00:00, 05T14:00:00 - 05T15:00:00]"
Calculo,Thomas Matto,"[43, 71, 246, 135]",26324,"[07T13:00:00 - 07T14:00:00, 06T15:00:00 - 06T16:00:00]"
Calculo,Alexander Cvetkovic,"[43, 71, 246, 135]",74894,"[05T12:00:00 - 05T13:00:00, 05T07:00:00 - 05T08:00:00]"
Calculo,Diane Lopez,"[43, 71, 246, 135]",58783,"[07T15:00:00 - 07T16:00:00, 07T06:00:00 - 07T07:00:00]"
Calculo,Stanley Holley,"[43, 71, 246, 135]",15319,"[03T17:00:00 - 03T18:00:00, 04T08:00:00 - 04T09:00:00]"
Calculo,Aaron Thompson,"[43, 71, 246, 135]",53166,"[06T17:00:00 - 06T18:00:00, 01T16:00:00 - 01T17:00:00]"
Calculo,John Hines,"[43, 71, 246, 135]",35709,"[05T13:00:00 - 05T14:00:00, 02T10:00:00 - 02T11:00:00]"
Calculo,Jay Tuttle,"[43, 71, 246, 135]",63190,[06T08:00:00 - 06T09:00:00]
Literatura,Denise Maisonave,"[249, 56, 105, 18]",46747,"[04T11:00:00 - 04T12:00:00, 05T18:00:00 - 05T19:00:00, 04T17:00:00 - 04T18:00:00]"
Literatura,Kenneth Padilla,"[249, 56, 105, 18]",92845,"[07T12:00:00 - 07T13:00:00, 01T15:00:00 - 01T16:00:00, 04T09:00:00 - 04T10:00:00]"
Literatura,Dorothy Bateman,"[249, 56, 105, 18]",59429,"[06T18:00:00 - 06T19:00:00, 05T06:00:00 - 05T07:00:00, 06T08:00:00 - 06T09:00:00]"
Biologia,Noah Byers,"[179, 84, 26, 112]",90334,"[05T15:00:00 - 05T16:00:00, 07T15:00:00 - 07T16:00:00]"
Biologia,Gilberto Lawrence,"[179, 84, 26, 112]",71754,"[07T18:00:00 - 07T19:00:00, 07T12:00:00 - 07T13:00:00]"
Biologia,Eric Hoffmann,"[179, 84, 26, 112]",23399,"[03T16:00:00 - 03T17:00:00, 03T08:00:00 - 03T09:00:00]"
Biologia,Edward Spearman,"[179, 84, 26, 112]",36174,"[04T17:00:00 - 04T18:00:00, 01T17:00:00 - 01T18:00:00]"
Biologia,Jennifer Tippett,"[179, 84, 26, 112]",45917,"[04T11:00:00 - 04T12:00:00, 04T18:00:00 - 04T19:00:00]"
Biologia,Jamie Covington,"[179, 84, 26, 112]",79611,"[04T06:00:00 - 04T07:00:00, 04T12:00:00 - 04T13:00:00]"
Biologia,Emily Blackman,"[179, 84, 26, 112]",87707,"[03T16:00:00 - 03T17:00:00, 04T15:00:00 - 04T16:00:00]"
Mecanica,Matthew Desai,"[213, 123, 194, 72]",20606,"[04T17:00:00 - 04T18:00:00, 02T09:00:00 - 02T10:00:00, 02T17:00:00 - 02T18:00:00, 02T15:00:00 - 02T16:00:00, 01T16:00:00 - 01T17:00:00]"
Mecanica,Lillie Davis,"[213, 123, 194, 72]",55311,"[07T18:00:00 - 07T19:00:00, 03T12:00:00 - 03T13:00:00, 03T17:00:00 - 03T18:00:00, 04T15:00:00 - 04T16:00:00, 01T17:00:00 - 01T18:00:00]"
Mecanica,Robert Brenner,"[213, 123, 194, 72]",62262,"[04T14:00:00 - 04T15:00:00, 04T07:00:00 - 04T08:00:00, 02T11:00:00 - 02T12:00:00, 05T09:00:00 - 05T10:00:00, 05T15:00:00 - 05T16:00:00]"
Mecanica,Marcus Jones,"[213, 123, 194, 72]",23359,"[01T15:00:00 - 01T16:00:00, 03T10:00:00 - 03T11:00:00, 06T17:00:00 - 06T18:00:00, 02T12:00:00 - 02T13:00:00, 07T09:00:00 - 07T10:00:00]"
Mecanica,Mary Roberts,"[213, 123, 194, 72]",15185,"[06T09:00:00 - 06T10:00:00, 01T11:00:00 - 01T12:00:00, 01T16:00:00 - 01T17:00:00, 05T07:00:00 - 05T08:00:00, 06T11:00:00 - 06T12:00:00]"
Mecanica,Rachel Purcell,"[213, 123, 194, 72]",23093,"[04T10:00:00 - 04T11:00:00, 07T15:00:00 - 07T16:00:00, 06T15:00:00 - 06T16:00:00, 05T10:00:00 - 05T11:00:00, 01T10:00:00 - 01T11:00:00]"
Mecanica,Soledad Wilson,"[213, 123, 194, 72]",35985,"[06T13:00:00 - 06T14:00:00, 04T17:00:00 - 04T18:00:00, 06T10:00:00 - 06T11:00:00, 02T07:00:00 - 02T08:00:00, 07T17:00:00 - 07T18:00:00]"
Mecanica,Maria Brown,"[213, 123, 194, 72]",20068,"[06T07:00:00 - 06T08:00:00, 05T06:00:00 - 05T07:00:00, 05T11:00:00 - 05T12:00:00, 06T11:00:00 - 06T12:00:00, 03T18:00:00 - 03T19:00:00]"
Mecanica,Debra Jones,"[213, 123, 194, 72]",34437,"[02T06:00:00 - 02T07:00:00, 06T12:00:00 - 06T13:00:00, 02T17:00:00 - 02T18:00:00, 06T08:00:00 - 06T09:00:00, 05T07:00:00 - 05T08:00:00]"
