className,professorName,classColor,classCode,classSchedule
Mecanica,William Lermon,"(255, 60, 240, 255)",23275,"[05T12:00:00 - 05T13:00:00, 02T14:00:00 - 02T15:00:00, 04T13:00:00 - 04T14:00:00, 01T08:00:00 - 01T09:00:00, 05T14:00:00 - 05T15:00:00]"
Mecanica,Michael Martin,"(255, 60, 240, 255)",49882,"[02T13:00:00 - 02T14:00:00, 03T11:00:00 - 03T12:00:00, 01T08:00:00 - 01T09:00:00, 04T17:00:00 - 04T18:00:00, 04T10:00:00 - 04T11:00:00]"
Mecanica,Molly Howk,"(255, 60, 240, 255)",24462,"[06T17:00:00 - 06T18:00:00, 04T10:00:00 - 04T11:00:00, 01T17:00:00 - 01T18:00:00, 03T06:00:00 - 03T07:00:00, 01T09:00:00 - 01T10:00:00]"
Mecanica,Malcolm Krout,"(255, 60, 240, 255)",63225,"[06T09:00:00 - 06T10:00:00, 03T09:00:00 - 03T10:00:00, 02T15:00:00 - 02T16:00:00, 07T16:00:00 - 07T17:00:00]"
Mecanica,Mary Glover,"(255, 60, 240, 255)",40822,"[07T13:00:00 - 07T14:00:00, 05T16:00:00 - 05T17:00:00, 02T10:00:00 - 02T11:00:00, 05T14:00:00 - 05T15:00:00, 05T10:00:00 - 05T11:00:00]"
Biologia,Ernest Whitten,"(248, 255, 224, 255)",86038,"[03T15:00:00 - 03T16:00:00, 04T15:00:00 - 04T16:00:00, 01T08:00:00 - 01T09:00:00]"
Biologia,Valerie Miles,"(248, 255, 224, 255)",84913,"[07T08:00:00 - 07T09:00:00, 01T12:00:00 - 01T13:00:00, 07T18:00:00 - 07T19:00:00]"
Biologia,Willard Sanford,"(248, 255, 224, 255)",51865,"[04T15:00:00 - 04T16:00:00, 04T06:00:00 - 04T07:00:00, 07T06:00:00 - 07T07:00:00]"
Biologia,Bernadette Bermudez,"(248, 255, 224, 255)",76379,"[06T09:00:00 - 06T10:00:00, 02T09:00:00 - 02T10:00:00, 04T08:00:00 - 04T09:00:00]"
Biologia,Johnna Gonzalez,"(248, 255, 224, 255)",80931,"[05T10:00:00 - 05T11:00:00, 05T17:00:00 - 05T18:00:00, 06T16:00:00 - 06T17:00:00]"
Biologia,Mary Meza,"(248, 255, 224, 255)",25150,"[02T07:00:00 - 02T08:00:00, 06T15:00:00 - 06T16:00:00, 06T09:00:00 - 06T10:00:00]"
Biologia,Andrew Byrne,"(248, 255, 224, 255)",19662,"[06T16:00:00 - 06T17:00:00, 06T14:00:00 - 06T15:00:00, 06T06:00:00 - 06T07:00:00]"
Biologia,Kyle Collins,"(248, 255, 224, 255)",77148,"[05T10:00:00 - 05T11:00:00, 05T14:00:00 - 05T15:00:00, 05T12:00:00 - 05T13:00:00]"
Literatura,Cathy Mclean,"(255, 133, 164, 255)",82412,"[03T09:00:00 - 03T10:00:00, 04T09:00:00 - 04T10:00:00, 07T16:00:00 - 07T17:00:00]"
Literatura,Joshua Elliott,"(255, 133, 164, 255)",18542,"[02T10:00:00 - 02T11:00:00, 07T12:00:00 - 07T13:00:00, 05T12:00:00 - 05T13:00:00]"
Literatura,Maria Hoffmann,"(255, 133, 164, 255)",52279,"[01T08:00:00 - 01T09:00:00, 03T15:00:00 - 03T16:00:00, 06T15:00:00 - 06T16:00:00, 03T10:00:00 - 03T11:00:00]"
Literatura,Lewis Guel,"(255, 133, 164, 255)",72999,"[01T14:00:00 - 01T15:00:00, 05T17:00:00 - 05T18:00:00, 01T16:00:00 - 01T17:00:00, 04T10:00:00 - 04T11:00:00]"
Calculo,Eric Lawrence,"(255, 104, 103, 255)",61813,"[05T09:00:00 - 05T10:00:00, 01T10:00:00 - 01T11:00:00, 05T17:00:00 - 05T18:00:00, 01T12:00:00 - 01T13:00:00, 02T10:00:00 - 02T11:00:00]"
Calculo,Austin Ferrell,"(255, 104, 103, 255)",92098,"[03T18:00:00 - 03T19:00:00, 07T10:00:00 - 07T11:00:00, 04T06:00:00 - 04T07:00:00, 01T12:00:00 - 01T13:00:00]"
Calculo,Opal Johnson,"(255, 104, 103, 255)",67804,"[04T14:00:00 - 04T15:00:00, 01T11:00:00 - 01T12:00:00, 05T18:00:00 - 05T19:00:00, 06T07:00:00 - 06T08:00:00, 07T13:00:00 - 07T14:00:00]"
