className,professorName,classColor,classCode,classSchedule
Calculo,Debbie Garcia,"[243, 208, 62, 138]",14885,"[01T07:00:00 - 01T08:00:00, 06T13:00:00 - 06T14:00:00, 04T17:00:00 - 04T18:00:00, 02T18:00:00 - 02T19:00:00, 05T11:00:00 - 05T12:00:00]"
Calculo,Amanda Dennie,"[243, 208, 62, 138]",63866,"[03T11:00:00 - 03T12:00:00, 01T07:00:00 - 01T08:00:00, 01T15:00:00 - 01T16:00:00, 05T16:00:00 - 05T17:00:00, 04T07:00:00 - 04T08:00:00]"
Calculo,Albert Godoy,"[243, 208, 62, 138]",20858,"[07T07:00:00 - 07T08:00:00, 02T15:00:00 - 02T16:00:00, 04T06:00:00 - 04T07:00:00, 01T14:00:00 - 01T15:00:00, 01T08:00:00 - 01T09:00:00]"
Calculo,Helen Godfrey,"[243, 208, 62, 138]",77350,"[03T09:00:00 - 03T10:00:00, 06T13:00:00 - 06T14:00:00, 05T06:00:00 - 05T07:00:00, 04T18:00:00 - 04T19:00:00, 05T18:00:00 - 05T19:00:00]"
Calculo,Lee Tolson,"[243, 208, 62, 138]",29551,"[06T18:00:00 - 06T19:00:00, 05T11:00:00 - 05T12:00:00, 02T07:00:00 - 02T08:00:00, 06T07:00:00 - 06T08:00:00, 04T11:00:00 - 04T12:00:00]"
Calculo,Nena Stephenson,"[243, 208, 62, 138]",83929,"[07T08:00:00 - 07T09:00:00, 06T08:00:00 - 06T09:00:00, 04T18:00:00 - 04T19:00:00, 05T07:00:00 - 05T08:00:00, 07T14:00:00 - 07T15:00:00]"
Calculo,Princess Brown,"[243, 208, 62, 138]",45895,"[03T17:00:00 - 03T18:00:00, 04T08:00:00 - 04T09:00:00, 01T16:00:00 - 01T17:00:00, 06T14:00:00 - 06T15:00:00, 05T08:00:00 - 05T09:00:00]"
Calculo,Julianna Clanton,"[243, 208, 62, 138]",73013,"[07T09:00:00 - 07T10:00:00, 02T08:00:00 - 02T09:00:00, 02T06:00:00 - 02T07:00:00, 07T06:00:00 - 07T07:00:00]"
Calculo,Carl Moore,"[243, 208, 62, 138]",72327,"[07T18:00:00 - 07T19:00:00, 07T10:00:00 - 07T11:00:00, 02T18:00:00 - 02T19:00:00, 03T10:00:00 - 03T11:00:00, 02T14:00:00 - 02T15:00:00]"
Literatura,Marietta Martin,"[158, 158, 170, 135]",46711,"[02T17:00:00 - 02T18:00:00, 01T16:00:00 - 01T17:00:00, 07T07:00:00 - 07T08:00:00, 07T11:00:00 - 07T12:00:00, 01T09:00:00 - 01T10:00:00]"
Literatura,Emma Calles,"[158, 158, 170, 135]",44892,"[07T10:00:00 - 07T11:00:00, 04T11:00:00 - 04T12:00:00, 06T09:00:00 - 06T10:00:00, 01T10:00:00 - 01T11:00:00, 06T14:00:00 - 06T15:00:00]"
Literatura,Aurora Biggs,"[158, 158, 170, 135]",30454,"[06T12:00:00 - 06T13:00:00, 03T16:00:00 - 03T17:00:00, 07T11:00:00 - 07T12:00:00, 04T07:00:00 - 04T08:00:00, 04T13:00:00 - 04T14:00:00]"
Literatura,Gordon Kelly,"[158, 158, 170, 135]",67023,"[05T13:00:00 - 05T14:00:00, 04T17:00:00 - 04T18:00:00, 02T13:00:00 - 02T14:00:00, 06T12:00:00 - 06T13:00:00, 06T17:00:00 - 06T18:00:00]"
Literatura,Maureen Puckett,"[158, 158, 170, 135]",11511,"[04T16:00:00 - 04T17:00:00, 06T11:00:00 - 06T12:00:00, 04T18:00:00 - 04T19:00:00, 05T14:00:00 - 05T15:00:00, 03T17:00:00 - 03T18:00:00]"
Literatura,Alfredo Cosby,"[158, 158, 170, 135]",20167,"[02T09:00:00 - 02T10:00:00, 01T16:00:00 - 01T17:00:00, 02T06:00:00 - 02T07:00:00, 03T07:00:00 - 03T08:00:00, 06T18:00:00 - 06T19:00:00]"
Literatura,John Fitzgerald,"[158, 158, 170, 135]",47886,"[06T18:00:00 - 06T19:00:00, 07T11:00:00 - 07T12:00:00, 01T17:00:00 - 01T18:00:00, 06T07:00:00 - 06T08:00:00, 02T06:00:00 - 02T07:00:00]"
Literatura,James Lewis,"[158, 158, 170, 135]",81897,"[04T07:00:00 - 04T08:00:00, 01T14:00:00 - 01T15:00:00, 06T06:00:00 - 06T07:00:00, 06T17:00:00 - 06T18:00:00, 07T08:00:00 - 07T09:00:00]"
Literatura,Tricia Loges,"[158, 158, 170, 135]",91572,"[02T15:00:00 - 02T16:00:00, 01T12:00:00 - 01T13:00:00, 04T16:00:00 - 04T17:00:00, 07T15:00:00 - 07T16:00:00, 03T12:00:00 - 03T13:00:00]"
Biologia,Sheri Moreno,"[105, 121, 88, 52]",23622,"[01T10:00:00 - 01T11:00:00, 03T08:00:00 - 03T09:00:00]"
Biologia,Heath Ybarra,"[105, 121, 88, 52]",94123,"[07T13:00:00 - 07T14:00:00, 05T16:00:00 - 05T17:00:00]"
Biologia,Michael Sanchez,"[105, 121, 88, 52]",18680,"[04T18:00:00 - 04T19:00:00, 05T18:00:00 - 05T19:00:00]"
Biologia,Joseph Wessel,"[105, 121, 88, 52]",94021,"[07T09:00:00 - 07T10:00:00, 01T17:00:00 - 01T18:00:00]"
Biologia,Dianna Cohn,"[105, 121, 88, 52]",57830,"[01T10:00:00 - 01T11:00:00, 07T11:00:00 - 07T12:00:00]"
Mecanica,Jason Smith,"[246, 49, 192, 20]",64262,"[03T17:00:00 - 03T18:00:00, 07T16:00:00 - 07T17:00:00]"
Mecanica,Angela Cole,"[246, 49, 192, 20]",33330,"[05T18:00:00 - 05T19:00:00, 01T15:00:00 - 01T16:00:00]"
Mecanica,Shirley Siegel,"[246, 49, 192, 20]",77028,"[02T15:00:00 - 02T16:00:00, 02T12:00:00 - 02T13:00:00]"
Mecanica,Ryan Greenfield,"[246, 49, 192, 20]",30544,"[03T16:00:00 - 03T17:00:00, 07T10:00:00 - 07T11:00:00]"
Mecanica,Richard Cortes,"[246, 49, 192, 20]",75631,"[03T08:00:00 - 03T09:00:00, 06T07:00:00 - 06T08:00:00]"
Mecanica,Victor Larose,"[246, 49, 192, 20]",66081,"[04T16:00:00 - 04T17:00:00, 07T10:00:00 - 07T11:00:00]"
Mecanica,Esther Howell,"[246, 49, 192, 20]",57227,"[07T08:00:00 - 07T09:00:00, 03T14:00:00 - 03T15:00:00]"
Mecanica,Catherine Rhymer,"[246, 49, 192, 20]",51811,"[04T17:00:00 - 04T18:00:00, 02T13:00:00 - 02T14:00:00]"
Mecanica,Angela Boggs,"[246, 49, 192, 20]",86650,"[06T16:00:00 - 06T17:00:00, 04T06:00:00 - 04T07:00:00]"
